t_s,T_numeric_K,T_analytical_K
0.0,293.15,293.15
11.492748538011696,293.3728814046397,293.3728814034982
22.985497076023393,293.59243628393165,293.59243628110187
34.47824561403509,293.8087142828054,293.8087142815226
45.970994152046785,294.02176431234454,294.0217643124604
57.46374269005848,294.23163456901307,294.231634551663
68.95649122807018,294.43837251011433,294.43837245782106
80.44923976608187,294.6420248507079,294.6420247812996
91.94198830409357,294.8426376349642,294.84263757471007
103.43473684210527,295.0402562373665,295.0402562033245
114.92748538011696,295.234925362711,295.23492535533376
126.42023391812866,295.42668904610684,295.4266890519535
137.91298245614036,295.6155906629919,295.6155906573784
149.40573099415207,295.8016729271178,295.80167288858854
160.89847953216375,295.98497788308487,295.9849778250091
172.39122807017543,296.16554697131494,296.16554691802577
183.88397660818714,296.3434210310152,296.34342100035855
195.37672514619885,296.51864030017845,296.5186402952951
206.86947368421053,296.69124441558284,296.6912444257869
218.36222222222221,296.8612724182218,296.86127242340905
229.85497076023393,297.0287627635799,297.0287627371867
241.34771929824564,297.1937532929322,297.1937532422898
252.84046783625732,297.3562813007255,297.3562812485977
264.333216374269,297.51638354270256,297.5163835091364
275.8259649122807,297.6740962359016,297.6740962283895
287.3187134502924,297.8294550586568,297.82945507048515
298.81146198830413,297.9824951510953,297.98249516726133
310.3042105263158,298.1332511350993,298.1332511262097
321.7969590643275,298.2817570769632,298.2817570383021
333.2897076023392,298.42804653563127,298.4280464856993
344.78245614035086,298.57215258854654,298.5721525493452
356.27520467836257,298.71410783165095,298.7141078164475
367.7679532163743,298.8539443793851,298.8539443878467
379.260701754386,298.99169386468856,298.9916938852753
390.7534502923977,299.12738744648397,299.12738745850857
402.24619883040936,299.26105581153956,299.26105579240823
413.73894736842107,299.39272915592284,299.3927291138618
425.2316959064328,299.5224372425268,299.52243719861735
436.72444444444443,299.6502094049723,299.65020937801745
448.21719298245614,299.7760745476084,299.7760745456314
459.70994152046785,299.90006114551187,299.9000611637894
471.20269005847956,300.02219724448764,300.0221972700186
482.6954385964913,300.142510475531,300.14251048338343
494.1881871345029,300.26102803365563,300.2610280107313
505.68093567251464,300.3777766935977,300.37777665284466
517.1736842105263,300.49278284830194,300.492782810502
528.666432748538,300.6060725090246,300.6060724904475
540.1591812865497,300.7176713053335,300.71767131127234
551.6519298245614,300.8276044851077,300.8276045092079
563.1446783625731,300.935896914622,300.93589694383223
574.6374269005848,301.0425730953509,301.04257310369206
586.1301754385966,301.14765713331354,301.14765711184003
597.6229239766083,301.2511727689731,301.25117273129024
609.1156725146199,301.3531434043566,301.35314337039125
620.6084210526316,301.45359210305486,301.45359208812005
632.1011695906433,301.55254159022263,301.55254159929615
643.593918128655,301.65001425257833,301.6500142797183
655.0866666666667,301.74603213840476,301.7460321712242
666.5794152046784,301.8406169724456,301.84061698667523
678.0721637426901,301.9337901303036,301.93379011486616
689.5649122807017,302.0255726588909,302.02557262536203
701.0576608187134,302.11598530590584,302.1159852732626
712.5504093567251,302.20504851983264,302.20504850389597
724.0431578947369,302.2927824499417,302.29278245744155
735.5359064327486,302.37920694628934,302.3792069734848
747.0286549707603,302.46434155971815,302.46434159550364
758.521403508772,302.54820555040124,302.5482055752875
770.0141520467837,302.6308178814378,302.63081787729124
781.5069005847954,302.7121972097025,302.71219718292326
792.999649122807,302.7923619270062,302.79236189477035
804.4923976608187,302.87133016142576,302.8713301407589
815.9851461988304,302.94911977730374,302.9491197782543
827.4778947368421,303.02574837524844,303.02574839809915
838.9706432748538,303.101233292134,303.10123332859087
850.4633918128656,303.1755916025315,303.17559163940064
861.9561403508773,303.2488401321489,303.248840145433
873.4488888888889,303.3209954248178,303.3209954106287
884.9416374269006,303.39207378072444,303.39207375170986
896.4343859649123,303.46209126833236,303.4620912418701
