"Position[X] (m)","Position[Y] (m)","Position[Z] (m)","Electric Current Density: Magnitude (A/m^2)","Temperature (K)","X (m)","Y (m)","Z (m)"
0.13024732759024832,0.149776713847419,0.00038246934392916366,2000149.0774945242,307.69334342203933,0.13024732759024832,0.149776713847419,0.00038246934392916366
0.13024731015633106,0.14977683227885616,0.0046173035627129098,2000148.9926820218,307.69335805250142,0.13024731015633106,0.14977683227885616,0.0046173035627129098
0.13033106091282221,0.14842800042149124,0.00050915742639769807,2000150.7574030999,307.69340046837175,0.13033106091282221,0.14842800042149124,0.00050915742639769807
0.147368511563916,0.14964836802206988,0.00051385918206843582,2000029.1397788441,307.69681914934637,0.147368511563916,0.14964836802206988,0.00051385918206843582
0.16306607280822955,0.14963217486445216,0.00051983070633609572,1999871.6881128312,307.69530201887807,0.16306607280822955,0.14963217486445216,0.00051983070633609572
0.16557530818829577,0.14966900479317405,0.00051548116956596905,1999859.6389819896,307.69467580541834,0.16557530818829577,0.14966900479317405,0.00051548116956596905
0.13068986926733336,0.14931896304834893,0.0023960243987204218,2000149.4325196145,307.6938895370111,0.13068986926733336,0.14931896304834893,0.0023960243987204218
0.1318908394562088,0.1493466252769742,0.0044094330411703951,2000148.1664813729,307.69397457688854,0.1318908394562088,0.1493466252769742,0.0044094330411703951
0.13046288663102634,0.14838049283896737,0.0043519989672544243,2000150.5618309828,307.69351476494944,0.13046288663102634,0.14838049283896737,0.0043519989672544243
0.13191898890274772,0.14935354585470759,0.00060307109651199029,2000148.074721609,307.69398599262314,0.13191898890274772,0.14935354585470759,0.00060307109651199029
0.13144402340381983,0.14776103358051776,0.0005915713573190495,2000151.6709287495,307.69382621794182,0.13144402340381983,0.14776103358051776,0.0005915713573190495
0.13037776543527299,0.14624924070726428,0.00051440879457730797,2000155.6806578953,307.69339223036633,0.13037776543527299,0.14624924070726428,0.00051440879457730797
0.13042149124327324,0.14730160946326662,0.0022227513412634873,2000153.2090381149,307.69376693373107,0.13042149124327324,0.14730160946326662,0.0022227513412634873
0.13049499906034059,0.14633383684384091,0.0043693771780368672,2000155.7610764336,307.69348645496046,0.13049499906034059,0.14633383684384091,0.0043693771780368672
0.1316562043985634,0.14761591064898041,0.0047930851281501605,2000151.7064178642,307.69370629873288,0.1316562043985634,0.14761591064898041,0.0047930851281501605
0.13046119849678717,0.14395272807818985,0.0044933793075074219,2000166.1004150501,307.69338100085264,0.13046119849678717,0.14395272807818985,0.0044933793075074219
0.13045627662605402,0.14395371100292023,0.00049887920227268561,2000166.4916609088,307.69338149559809,0.13045627662605402,0.14395371100292023,0.00049887920227268561
0.13359721337310657,0.14782580428582379,0.00056266251751539687,2000146.9001087274,307.69447917303773,0.13359721337310657,0.14782580428582379,0.00056266251751539687
0.13685723082010814,0.14944182717116111,0.0043866990092490737,2000129.6092981515,307.69537060822051,0.13685723082010814,0.14944182717116111,0.0043866990092490737
