variant_id,n_cells_total,n_cells_excluded,n_cells_included,Jmax_included_A_m2,J95_A_m2,J99_A_m2,J95_over_Jnominal,J99_over_Jnominal,hotspot_cell_fraction,hotspot_mean_J_A_m2,Tmax_K,Tmax_location_m,Tavg_K,thermal_spreading_K
b21a_straight_reference_reused_from_b12v1,-1,-1,-1,2000000.0,2000000.0,2000000.0,1.0,1.0,0.0,0.0,307.9862,"(0.15, 0.0, 0.0025)",307.9847,0.0015000000000213731
b21b_hole,6616,673,5943,4375244.062364192,2676589.885900442,3461592.679673441,1.3382949429502211,1.7307963398367205,0.023893656402490325,3480747.2791851694,308.5945594222025,"(0.1502485485083258, 0.0105165052170356, 0.0027015904850125)",308.54061219263974,0.0539472295627661
b21c_neck,10938,1101,9837,6941555.194637741,4002893.240130729,4188652.2131155967,2.0014466200653644,2.0943261065577983,0.11660058961065366,3973444.640611578,311.71173803685963,"(0.1496313785789119, -0.0010773602451544, 0.0020214451915744)",311.41025315499206,0.30148488186756595
b21d_sharp_corner,6554,682,5872,6085232.6318768095,2181495.794572156,2797261.779463682,1.090747897286078,1.398630889731841,0.006471389645776567,3843248.0539354007,307.0900665756725,"(0.1510738604149952, 0.1490579444584938, 0.0025349529566776)",307.04926428901035,0.04080228666214225
b21e_filleted_corner,6110,787,5323,3401581.2135518254,2349213.9194627106,3102777.9982338552,1.1746069597313553,1.5513889991169276,0.013338343039639301,3188855.347554876,307.6973036518337,"(0.1499116401892451, 0.1457654179454552, 0.002664128124476)",307.6866525459104,0.010651105923273008
