variant,T_s_K,T_s_C,R_ohm,P_joule_W,Q_conv_W,Q_rad_W,Q_end_W,normalized_residual,status
v1_convection_only_constant_R,308.0833333333333,34.93333333333334,2.52e-05,4.032,4.032000000000001,0.0,0.0,2.2028234615578503e-16,SIMULATED
v2_convection_plus_radiation,303.3128078121163,30.16280781211634,2.52e-05,4.032,2.7439581092714125,1.2880418907125024,0.0,3.989313288881267e-12,SIMULATED
v3_temperature_dependent_R,303.7281527020221,30.578152702022123,2.624761793099747e-05,4.199618868959595,2.8561012295459736,1.3435176393754913,0.0,9.079487669220903e-12,SIMULATED
v4_end_conduction,300.1155500511463,26.965550051146295,2.5889840214865327e-05,4.1423744343784525,1.8806985138094996,0.8685659103970707,1.3931100102292588,1.3851286261054048e-11,SIMULATED
v5_combined_nonlinear,300.1155500511463,26.965550051146295,2.5889840214865327e-05,4.1423744343784525,1.8806985138094996,0.8685659103970707,1.3931100102292588,1.3851286261054048e-11,SIMULATED
sensitivity_h5.0_eps0.78_Tinf293.15_Tend293.15,302.2069308381146,29.056930838114624,2.609696220248352e-05,4.175513952397363,1.2226856631454743,1.1414421216276895,1.8113861676229248,3.0524051573050245e-13,SIMULATED
sensitivity_h10.0_eps0.78_Tinf293.15_Tend293.15,300.1155500511463,26.965550051146295,2.5889840214865327e-05,4.1423744343784525,1.8806985138094996,0.8685659103970707,1.3931100102292588,1.3851286261054048e-11,SIMULATED
sensitivity_h20.0_eps0.78_Tinf293.15_Tend293.15,297.90778698362,24.757786983620008,2.5671192191709787e-05,4.107390750673566,2.5692049711548046,0.5866283827640919,0.9515573967240016,7.466519383089236e-12,SIMULATED
sensitivity_h40.0_eps0.78_Tinf293.15_Tend293.15,296.0584736181469,22.9084736181469,2.5488043593246797e-05,4.078086974919487,3.141151507598652,0.3552407436914354,0.5816947236293799,5.009236874725113e-15,SIMULATED
sensitivity_h10.0_eps0.05_Tinf293.15_Tend293.15,301.8731310966466,28.723131096646625,2.6063904011287497e-05,4.170224641806,2.355245396094589,0.07035302638209323,1.7446262193293252,1.916828579728342e-15,SIMULATED
sensitivity_h10.0_eps0.3_Tinf293.15_Tend293.15,301.1759021372302,28.02590213723022,2.5994853244062727e-05,4.159176519050036,2.166993577052159,0.3870025145517939,1.6051804274460437,9.609601492853785e-15,SIMULATED
sensitivity_h10.0_eps0.78_Tinf293.15_Tend293.15,300.1155500511463,26.965550051146295,2.5889840214865327e-05,4.1423744343784525,1.8806985138094996,0.8685659103970707,1.3931100102292588,1.3851286261054048e-11,SIMULATED
sensitivity_h10.0_eps0.9_Tinf293.15_Tend293.15,299.89393952454947,26.74393952454949,2.5867892794753283e-05,4.138862847160525,1.8208636716283622,0.9692112706222356,1.3487879049098979,7.0816281989658674e-15,SIMULATED
sensitivity_h10.0_eps0.78_Tinf263.15_Tend293.15,280.5193040206432,7.369304020643199,2.394910639298842e-05,3.8318570228781472,4.689712085573664,1.6682841330889262,-2.52613919587136,2.268277225191714e-11,SIMULATED
sensitivity_h10.0_eps0.78_Tinf293.15_Tend293.15,300.1155500511463,26.965550051146295,2.5889840214865327e-05,4.1423744343784525,1.8806985138094996,0.8685659103970707,1.3931100102292588,1.3851286261054048e-11,SIMULATED
sensitivity_h10.0_eps0.78_Tinf313.15_Tend293.15,313.73031822725926,40.58031822725928,2.7238192395954853e-05,4.358110783352776,0.15668592136000656,0.08536121654086373,4.116063645451857,1.1208942478035359e-14,SIMULATED
sensitivity_h10.0_eps0.78_Tinf333.15_Tend293.15,327.8288779531188,54.67887795311884,2.8634457356965075e-05,4.581513177114412,-1.4367029526579127,-0.9175594608524379,6.935775590623768,2.1712473403616243e-13,SIMULATED
sensitivity_h10.0_eps0.78_Tinf293.15_Tend273.15,293.20569811637455,20.055698116374572,2.5205516118653275e-05,4.032882578984524,0.015038491421134382,0.00670446410147627,4.011139623274914,4.6368535948693527e-11,SIMULATED
sensitivity_h10.0_eps0.78_Tinf293.15_Tend293.15,300.1155500511463,26.965550051146295,2.5889840214865327e-05,4.1423744343784525,1.8806985138094996,0.8685659103970707,1.3931100102292588,1.3851286261054048e-11,SIMULATED
sensitivity_h10.0_eps0.78_Tinf293.15_Tend313.15,306.9213523963199,33.77135239631991,2.656385965592194e-05,4.25021754494751,3.7182651470063766,1.7776819200653955,-1.2457295207360175,3.266289717154968e-10,SIMULATED
