"Position[X] (m)","Position[Y] (m)","Position[Z] (m)","Electric Current Density: Magnitude (A/m^2)","Temperature (K)","X (m)","Y (m)","Z (m)"
0.16975412056181435,0.14975397453790312,0.0046182246929656456,1999940.1472739042,307.08617028421747,0.16975412056181435,0.14975397453790312,0.0046182246929656456
0.16975412208379204,0.14975397632326601,0.00038177447820125955,1999940.1481245209,307.0861655383207,0.16975412208379204,0.14975397632326601,0.00038177447820125955
0.1302459221705253,0.14975401521200055,0.00038177389710085646,2000059.9551262569,307.08621780306225,0.1302459221705253,0.14975401521200055,0.00038177389710085646
0.13024592198446147,0.14975401563004659,0.0046182260019869414,2000059.9523550642,307.08621480262212,0.13024592198446147,0.14975401563004659,0.0046182260019869414
0.16966325167117011,0.14826776392896396,0.0044962789383516501,1999939.3450441356,307.08623069814467,0.16966325167117011,0.14826776392896396,0.0044962789383516501
0.16932203556500741,0.14928010199394656,0.0024999094375439683,1999939.9384587246,307.08670936069393,0.16932203556500741,0.14928010199394656,0.0024999094375439683
0.16966206556997207,0.14826687180237982,0.00050501316852492493,1999939.3581781092,307.08622625826223,0.16966206556997207,0.14826687180237982,0.00050501316852492493
0.16809888595158021,0.14934412897381966,0.0045484658420925535,1999940.5928203382,307.08672296295487,0.16809888595158021,0.14934412897381966,0.0045484658420925535
0.16721731990704167,0.14906919026828708,0.002490286019544635,1999941.0283262895,307.08741771081225,0.16721731990704167,0.14906919026828708,0.002490286019544635
0.16809896537851329,0.14934416628236105,0.00045144881989664121,1999940.599936933,307.08672129279972,0.16809896537851329,0.14934416628236105,0.00045144881989664121
0.16555332245644047,0.14946306478243945,0.00049219046444266498,1999943.554513647,307.087488200927,0.16555332245644047,0.14946306478243945,0.00049219046444266498
0.16555325307921243,0.14946313812876613,0.0045078195117930053,1999943.5577080266,307.08748573552515,0.16555325307921243,0.14946313812876613,0.0045078195117930053
0.13961826296985394,0.1496097416587944,0.00050719748241088698,2000043.7455801098,307.08870719711825,0.13961826296985394,0.1496097416587944,0.00050719748241088698
0.13702144738314548,0.14960943170904678,0.00050793999047672744,2000051.1995560052,307.0881872479714,0.13702144738314548,0.14960943170904678,0.00050793999047672744
0.13188142786309928,0.14948571565606619,0.0004592857274766137,2000059.4299082481,307.08677235043916,0.13188142786309928,0.14948571565606619,0.0004592857274766137
0.13188137423474056,0.14948571094039959,0.0045405945809515397,2000059.3945691246,307.08677031910793,0.13188137423474056,0.14948571094039959,0.0045405945809515397
0.13078840821726681,0.14918436288388531,0.002496116509466783,2000060.108788671,307.08680522684688,0.13078840821726681,0.14918436288388531,0.002496116509466783
